user_id,margherita pizza,beef tacos,shrimp stir fry,classic cheeseburger,chicken caesar salad,peanut butter banana smoothie,mushroom risotto,salmon sushi roll,lentil soup,mango chicken lettuce wraps,black bean and sweet potato tacos,herb roasted vegetables
user_001,0.09281187068531796,0.057970202781111715,0.10848169934223305,0.11594561225679681,0.04214269056308114,0.05288716824394576,0.08724041616547264,0.07468196743850128,0.08293383866771571,0.06188997401629764,0.11348978827938559,0.10952477156014076
user_002,0.07978278240897625,0.1156688538172414,0.09181955088294995,0.05771081642983371,0.08869998783544183,0.055733871467531816,0.10602284430473938,0.07660963934931646,0.07307564594974064,0.06142836119396194,0.11959205939330539,0.07385558696696108
user_003,0.06282641992922193,0.06452441501876678,0.08793506437084078,0.08294650191987253,0.08433077269773837,0.08486635909934713,0.1544494846339513,0.06331011851524489,0.061008028306600334,0.05489761842760316,0.09054828281194932,0.10835693426886356
user_004,0.07593793654543765,0.05889423602469385,0.05921823789239965,0.09923645812400328,0.10250760104496624,0.09557411180351653,0.06260653057148177,0.08571728142576931,0.08232197028013218,0.08531403699701416,0.10721091524042838,0.08546068405015703
user_005,0.10124741460266191,0.08174462824834686,0.08833524806921386,0.0995737228366096,0.047939648018200304,0.07138319646867315,0.06771562797063578,0.06383746073599234,0.07250442800072214,0.1347170809503192,0.058962788014469136,0.11203875608415573
user_006,0.04755988942112413,0.07623223512310588,0.09073632196465922,0.10523247841340604,0.10993875849207432,0.1131444927938526,0.0758638579810247,0.07290600723656532,0.11573298974100674,0.08016104335338599,0.05484461218219681,0.0576473132975982
user_007,0.060293156600114396,0.09899141889934558,0.08743327366837732,0.10592134412376053,0.0716281735535899,0.08792778038118088,0.10354264388514789,0.07464590147571701,0.09760202501611523,0.06598007673484302,0.07325584660733017,0.07277835905447815
user_008,0.05839131903787668,0.10523032049443486,0.0752954937500802,0.08912893682285336,0.10500126930953668,0.10375133429887134,0.11201086732439494,0.0857332891683315,0.07652034849905384,0.0862982857730722,0.04916313510919013,0.05347540041230421
user_009,0.056707590245165355,0.06354933562382212,0.1036245128345183,0.06562359187115542,0.07892484250518682,0.1419653249205183,0.07953208641862938,0.11662730017698753,0.06498046880716249,0.08384331736540349,0.06460845041669613,0.08001317881475448
user_010,0.1102233778903921,0.044873122996560044,0.09562644870778926,0.08926492445752988,0.06671625872297902,0.04951526063115963,0.08423803104361674,0.06824326299548189,0.089106995174651,0.08276865422968697,0.1438863538539221,0.07553730929623127
user_011,0.05697784805271504,0.08680230323644363,0.0880482996396815,0.13118418595895467,0.10919940560646157,0.0923690120304898,0.13605275242263198,0.053775588296062174,0.06516833214214551,0.05894383872571382,0.07112602139865054,0.050352412490049854
user_012,0.08826828983418465,0.0653854756682997,0.04223696941942153,0.04953232143525326,0.07887055306979993,0.0947671084675185,0.14215725938724452,0.19596380156934307,0.08170550619211432,0.04998583929370568,0.03351060295740711,0.07761627270570766
user_013,0.06395092425591596,0.0734988913922253,0.06860816043243081,0.08091251860596024,0.12343793076666709,0.08980245941920541,0.08040876366919665,0.059155321382551876,0.047299812594202094,0.07169618912350728,0.08341444295439669,0.15781458540374058
user_014,0.0811177331788279,0.10931835810104873,0.06507575503834372,0.0511915866163288,0.055285719932218313,0.06012804612242507,0.16324790242805443,0.05813803955397866,0.10393614645606135,0.05650228052196728,0.1073780803205257,0.08868035173022017
user_015,0.07913633699628703,0.08241179169795403,0.06647458675450735,0.09772141089977826,0.07128965286889383,0.054436418992154144,0.053448429954545705,0.08880129073155998,0.14528209769065184,0.08841065364301297,0.08019586859893514,0.09239146117171969
user_016,0.10702308513229641,0.07316578004746443,0.058681200982252525,0.09979768623344011,0.07872877392830084,0.1159847303691025,0.0722459307438304,0.044140590975138956,0.041975588820801955,0.1207556070649357,0.12386929694090718,0.06363172876152903
user_017,0.06693187095176867,0.1276505325027246,0.051952239442255584,0.05595995559835488,0.09586636506491482,0.06666492949579689,0.07640118141699954,0.07228277074576564,0.08613724575473655,0.12526224058834345,0.07900376664601116,0.09588690179232821
user_018,0.04574419811643172,0.0921643836292286,0.06979027038664193,0.06119347895174103,0.0689424344798021,0.08340280965181746,0.12917797332812608,0.058932207079119246,0.09475989055517256,0.07913584243305942,0.08359131431057175,0.1331651970782881
user_019,0.0818236023328072,0.10823606986145468,0.0642093185153385,0.053124882848085815,0.06266949149578,0.07378085001621904,0.07209797886938205,0.0463717070237684,0.06995811876827471,0.0734133098041265,0.1635863931493986,0.13072827731536468
user_020,0.07267739275366877,0.08859552656358965,0.05870123947231041,0.07967199052772271,0.10941273532725065,0.14941300392923176,0.07590527637293777,0.0779224645915097,0.046206218205205235,0.09254846659019932,0.06754678699774776,0.08139889866862611
user_021,0.05408304665048486,0.07112437780579876,0.03973439166706299,0.043989730221232634,0.1548812242043733,0.046844056347437504,0.05007626213065423,0.13981802747919617,0.20320098187067745,0.0487826012932277,0.06462070715520336,0.08284459317465086
user_022,0.151075614647202,0.058401193001768444,0.07570839473735323,0.10828909395968402,0.09605341291275256,0.07231862261893925,0.0787200791028767,0.050984555945129545,0.0758968730144091,0.07515109400301849,0.08947826588860065,0.06792280016826593
user_023,0.08061470156563928,0.0974259973019244,0.07217132571353119,0.0773048962515497,0.06963358006592849,0.06835208648117612,0.053095768712406836,0.0763566817929793,0.0660619040180123,0.14220240921603897,0.11854786077297642,0.07823278810783693
user_024,0.06390999022662315,0.05655432603546482,0.12665232674204718,0.09151546212088014,0.09875044452779083,0.04532871054926367,0.11548598523890315,0.09786537722644131,0.0565935473665841,0.0707754388435768,0.09154647214620348,0.08502191897622137
user_025,0.07814902842167122,0.08348413766894969,0.07925618526539743,0.09131128822926463,0.14487911863528444,0.035252874966689274,0.07967691913215924,0.09207991921492567,0.09601221625110992,0.07599803130997486,0.04680663262927618,0.09709364827529747
user_026,0.12596415714855053,0.04022840478211425,0.0931084208067596,0.06134054210516319,0.06735393339217466,0.04760369316388523,0.06121334149999541,0.10846639837235474,0.0843820042555414,0.12618308228715477,0.1039093605115873,0.08024666167471883
user_027,0.12978994516305203,0.0822026761904887,0.0941920812527605,0.0635444981848596,0.07215606109746629,0.055226445012750314,0.09967298029362262,0.046671513298525306,0.09269948091019392,0.0659444277074404,0.10621621021820211,0.09168368067063813
